Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.15, is vulnerable to an Arbitrary File Deletion on the local host when unmarshalling. The vulnerability may allow a remote attacker to delete arbitrary know files on the host as log as the executing process has sufficient rights only by manipulating the processed input stream. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.15. The reported vulnerability does not exist running Java 15 or higher. No user is affected, who followed the recommendation to setup XStream's Security Framework with a whitelist! Anyone relying on XStream's default blacklist can immediately switch to a whilelist for the allowed types to avoid the vulnerability. Users of XStream 1.4.14 or below who still want to use XStream default blacklist can use a workaround described in more detailed in the referenced advisories.",CVE-2020-26259,Medium,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.15,1.4.15,2023-02-01T21:17:28-05:00,com.thoughtworks.xstream:xstream,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:N/I:P/A:P,6.8/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:N/I:H/A:N,CWE-78,XRAY-135044,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
Thymeleaf sec: Attribute Username Handling XSS,,Medium,security,JFrog,org.thymeleaf.extras:thymeleaf-extras-springsecurity5,3.0.3.RELEASE ≤ Version ≤ 3.0.4.RELEASE,3.1.0.M1,2022-02-15T09:01:39-05:00,org.thymeleaf.extras:thymeleaf-extras-springsecurity5,,,,XRAY-119343,FALSE,gav://org.thymeleaf.extras:thymeleaf-extras-springsecurity5:3.0.4.RELEASE,gav://org.thymeleaf.extras:thymeleaf-extras-springsecurity5
"Using snakeYAML to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stackoverflow.",CVE-2022-38751,Medium,security,JFrog,org.yaml:snakeyaml,< 1.31,1.31,2023-02-01T21:16:56-05:00,org.yaml:snakeyaml,,6.5/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CWE-787,XRAY-253428,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",CVE-2019-8331,Medium,security,JFrog,bootstrap,"0.0.1,0.0.2,3.0.0 ≤ Version < 3.4.1,4.0.0 ≤ Version ≤ 4.3.0",,2022-02-15T09:04:48-05:00,bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-79416,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy.",CVE-2018-14041,Medium,security,JFrog,bootstrap,"< 3.4.0,4.0.0 ≤ Version < 4.1.2","3.4.0,4.1.2",2023-02-01T21:15:54-05:00,bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-86058,FALSE,npm://bootstrap:3.1.1,npm://bootstrap
"In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",CVE-2016-10735,Medium,security,JFrog,org.webjars:bootstrap,"3.0.0-rc1 ≤ Version < 3.4.0,4.0.0-beta ≤ Version < 4.0.0-beta.2","3.4.0,4.0.0-beta.2",2022-02-15T09:05:52-05:00,org.webjars:bootstrap,4.3/CVSS:2.0/AV:N/AC:M/Au:N/C:N/I:P/A:N,6.1/CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,CWE-79,XRAY-93616,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
Bootstrap js/dropdown.js selector Handling XSS,,Medium,security,JFrog,org.webjars:bootstrap,2.3.0 ≤ Version < 3.4.0,3.4.0,2020-04-08T07:57:06-04:00,org.webjars:bootstrap,,,,XRAY-93575,FALSE,gav://org.webjars:bootstrap:3.3.7,gav://org.webjars:bootstrap
"Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) are vulnerable to a remote code execution (RCE) attack when a configuration uses a JDBC Appender with a JNDI LDAP data source URI when an attacker has control of the target LDAP server. This issue is fixed by limiting JNDI data source names to the java protocol in Log4j2 versions 2.17.1, 2.12.4, and 2.3.2.",CVE-2021-44832,Medium,security,JFrog,org.apache.logging.log4j:log4j-core,"2.0-beta7 ≤ Version < 2.3.2,2.13.0 ≤ Version < 2.17.1,2.4 ≤ Version < 2.12.4","2.12.4,2.17.1,2.3.2",2023-02-01T21:16:00-05:00,org.apache.logging.log4j:log4j-core,8.5/CVSS:2.0/AV:N/AC:M/Au:S/C:C/I:C/A:C,6.6/CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-20,XRAY-193174,FALSE,gav://org.apache.logging.log4j:log4j-core:2.15.0,gav://org.apache.logging.log4j:log4j-core
A flaw was found in Undertow. Denial of service can be achieved as Undertow server waits for the LAST_CHUNK forever for EJB invocations.,CVE-2022-2764,Medium,security,JFrog,io.undertow:undertow-core,"< 2.2.21.Final,2.3.0.Alpha1 ≤ Version < 2.3.0.Final","2.2.21.Final,2.3.0.Final",2022-12-13T11:20:24-05:00,io.undertow:undertow-core,,4.9/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,NVD-CWE-noinfo,XRAY-253385,FALSE,gav://io.undertow:undertow-core:2.2.18.Final,gav://io.undertow:undertow-core
,,,,,org.jruby.jcodings:jcodings:1.0.57,,,,,,,,,,,
,,,,,org.projectlombok:lombok:1.18.24,,,,,,,,,,,
,,,,,com.fasterxml.jackson.core:jackson-annotations:2.13.3,,,,,,,,,,,
,,,,,com.github.jnr:jnr-a64asm:1.0.0,,,,,,,,,,,
,,,,,com.headius:invokebinder:1.12,,,,,,,,,,,
,,,,,com.sun.istack:istack-commons-runtime:3.0.12,,,,,,,,,,,
,,,,,org.jruby.joni:joni:2.1.43,,,,,,,,,,,
,,,,,org.ow2.asm:asm-commons:9.2,,,,,,,,,,,
,,,,,org.webjars:bootstrap:3.3.7,,,,,,,,,,,
,,,,,org.webjars:jquery:3.5.1,,,,,,,,,,,
,,,,,ch.qos.logback:logback-classic:1.2.11,,,,,,,,,,,
,,,,,commons-io:commons-io:2.6,,,,,,,,,,,
,,,,,org.asciidoctor:asciidoctorj:2.5.3,,,,,,,,,,,
,,,,,org.checkerframework:checker-qual:3.5.0,,,,,,,,,,,
,,,,,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.13.3,,,,,,,,,,,
,,,,,com.jcraft:jzlib:1.1.3,,,,,,,,,,,
,,,,,org.springframework.security:spring-security-core:5.7.2,,,,,,,,,,,
,,,,,org.thymeleaf.extras:thymeleaf-extras-java8time:3.0.4.RELEASE,,,,,,,,,,,
,,,,,org.jruby:jruby-stdlib:9.3.6.0,,,,,,,,,,,
,,,,,org.ow2.asm:asm-util:9.2,,,,,,,,,,,
,,,,,org.springframework:spring-context:5.3.21,,,,,,,,,,,
,,,,,jruby_cache_backend.jar:,,,,,,,,,,,
,,,,,antlr:antlr:2.7.7,,,,,,,,,,,
,,,,,jakarta.validation:jakarta.validation-api:2.0.2,,,,,,,,,,,
,,,,,org.bitbucket.b_c:jose4j:0.7.6,,,,,,,,,,,
,,,,,org.jruby:dirgra:0.3,,,,,,,,,,,
,,,,,mavenEcjBootstrapAgent.jar:,,,,,,,,,,,
,,,,,org.unbescape:unbescape:1.1.6.RELEASE,,,,,,,,,,,
,,,,,rubygems:jruby-openssl:0.13.0,,,,,,,,,,,
,,,,,bootstrap:3.1.1,,,,,,,,,,,
,,,,,concurrent_ruby.jar:,,,,,,,,,,,
,,,,,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,,,,,,,,,,,
,,,,,com.zaxxer:HikariCP:4.0.3,,,,,,,,,,,
,,,,,org.apache.logging.log4j:log4j-core:2.15.0,,,,,,,,,,,
,,,,,org.bouncycastle:bcpkix-jdk15on:1.68,,,,,,,,,,,
,,,,,org.springframework:spring-jcl:5.3.21,,,,,,,,,,,
,,,,,io.undertow:undertow-core:2.2.18.Final,,,,,,,,,,,
,,,,,org.jboss.logging:jboss-logging:3.4.3.Final,,,,,,,,,,,
,,,,,org.jruby:jruby:9.3.6.0,,,,,,,,,,,
,,,,,org.springframework.boot:spring-boot-actuator-autoconfigure:2.7.1,,,,,,,,,,,
,,,,,parser.jar:,,,,,,,,,,,
,,,,,jakarta.annotation:jakarta.annotation-api:1.3.5,,,,,,,,,,,
,,,,,javax.xml.bind:jaxb-api:2.3.1,,,,,,,,,,,
,,,,,org.aspectj:aspectjweaver:1.9.7,,,,,,,,,,,
,,,,,spm-jquery:2.1.4,,,,,,,,,,,
,,,,,com.github.jnr:jnr-netdb:1.2.0,,,,,,,,,,,
,,,,,com.google.errorprone:error_prone_annotations:2.3.4,,,,,,,,,,,
,,,,,org.hsqldb:hsqldb:2.5.2,,,,,,,,,,,
,,,,,org.wildfly.common:wildfly-common:1.5.4.Final,,,,,,,,,,,
,,,,,com.github.jnr:jnr-posix:3.1.15,,,,,,,,,,,
,,,,,org.apache.commons:commons-text:1.9,,,,,,,,,,,
,,,,,org.jboss.xnio:xnio-api:3.8.7.Final,,,,,,,,,,,
,,,,,org.springframework:spring-webmvc:5.3.21,,,,,,,,,,,
,,,,,xmlpull:xmlpull:1.1.3.1,,,,,,,,,,,
,,,,,@flexem/jquery-ui:1.12.1,,,,,,,,,,,
,,,,,cparse-jruby.jar:,,,,,,,,,,,
,,,,,jakarta.persistence:jakarta.persistence-api:2.2.3,,,,,,,,,,,
,,,,,org.glassfish.jaxb:txw2:2.3.6,,,,,,,,,,,
,,,,,org.slf4j:jul-to-slf4j:1.7.36,,,,,,,,,,,
,,,,,org.springframework.security:spring-security-crypto:5.7.2,,,,,,,,,,,
,,,,,test-unit:3.2.9,,,,,,,,,,,
,,,,,com.github.jnr:jffi:1.3.9,,,,,,,,,,,
,,,,,io.undertow:undertow-websockets-jsr:2.2.18.Final,,,,,,,,,,,
,,,,,org.springframework:spring-aop:5.3.21,,,,,,,,,,,
,,,,,org.springframework:spring-core:5.3.21,,,,,,,,,,,
,,,,,com.fasterxml.jackson.core:jackson-core:2.13.3,,,,,,,,,,,
,,,,,org.apache.logging.log4j:log4j-api:2.15.0,,,,,,,,,,,
,,,,,org.thymeleaf:thymeleaf-spring5:3.0.15.RELEASE,,,,,,,,,,,
,,,,,org.yaml:snakeyaml:1.28,,,,,,,,,,,
,,,,,data.tar.gz:,,,,,,,,,,,
,,,,,tomcat-embed-el-9.0.64.jar:,,,,,,,,,,,
,,,,,com.github.jnr:jnr-enxio:0.32.13,,,,,,,,,,,
,,,,,com.github.jnr:jnr-x86asm:1.0.2,,,,,,,,,,,
,,,,,jakarta.servlet:jakarta.servlet-api:4.0.4,,,,,,,,,,,
,,,,,org.springframework.boot:spring-boot-autoconfigure:2.7.1,,,,,,,,,,,
,,,,,xmlrpc:0.3.0,,,,,,,,,,,
,,,,,jopenssl.jar:,,,,,,,,,,,
,,,,,ch.qos.logback:logback-core:1.2.11,,,,,,,,,,,
,,,,,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.13.3,,,,,,,,,,,
,,,,,com.google.guava:guava:30.1-jre,,,,,,,,,,,
,,,,,org.owasp.webgoat:webgoat:8.2.3-SNAPSHOT,,,,,,,,,,,
,,,,,com.headius:options:1.6,,,,,,,,,,,
,,,,,org.springframework.security:spring-security-config:5.7.2,,,,,,,,,,,
,,,,,data.tar.gz:,,,,,,,,,,,
,,,,,power_assert:1.1.3,,,,,,,,,,,
,,,,,org.springframework.boot:spring-boot-actuator:2.7.1,,,,,,,,,,,
,,,,,data.tar.gz:,,,,,,,,,,,
,,,,,generator.jar:,,,,,,,,,,,
,,,,,com.google.j2objc:j2objc-annotations:1.3,,,,,,,,,,,
,,,,,jakarta.transaction:jakarta.transaction-api:1.3.3,,,,,,,,,,,
,,,,,jline:jline:2.14.6,,,,,,,,,,,
,,,,,org.latencyutils:LatencyUtils:2.0.3,,,,,,,,,,,
,,,,,com.github.jnr:jnr-unixsocket:0.38.17,,,,,,,,,,,
,,,,,com.headius:backport9:1.12,,,,,,,,,,,
,,,,,com.nulab-inc:zxcvbn:1.5.2,,,,,,,,,,,
,,,,,org.yaml:snakeyaml:1.30,,,,,,,,,,,
,,,,,cglib:cglib-nodep:2.2,,,,,,,,,,,
,,,,,com.sun.activation:jakarta.activation:1.2.2,,,,,,,,,,,
,,,,,org.bouncycastle:bcprov-jdk15on:1.68,,,,,,,,,,,
,,,,,org.springframework:spring-aspects:5.3.21,,,,,,,,,,,
,,,,,org.springframework.boot:spring-boot:2.7.1,,,,,,,,,,,
,,,,,javax.activation:javax.activation-api:1.2.0,,,,,,,,,,,
,,,,,net.bytebuddy:byte-buddy:1.12.11,,,,,,,,,,,
,,,,,org.apache.commons:commons-lang3:3.12.0,,,,,,,,,,,
,,,,,org.jboss.xnio:xnio-nio:3.8.7.Final,,,,,,,,,,,
,,,,,net-telnet:0.1.1,,,,,,,,,,,
,,,,,com.google.code.findbugs:jsr305:3.0.2,,,,,,,,,,,
,,,,,com.thoughtworks.xstream:xstream:1.4.5,,,,,,,,,,,
,,,,,org.asciidoctor:asciidoctorj-api:2.5.3,,,,,,,,,,,
,,,,,data.tar.gz:,,,,,,,,,,,
,,,,,io.micrometer:micrometer-core:1.9.1,,,,,,,,,,,
,,,,,org.apache.commons:commons-exec:1.3,,,,,,,,,,,
,,,,,org.slf4j:slf4j-api:1.7.36,,,,,,,,,,,
,,,,,spring-boot-jarmode-layertools-2.7.1.jar:,,,,,,,,,,,
,,,,,com.fasterxml.jackson.core:jackson-databind:2.13.3,,,,,,,,,,,
,,,,,joda-time:joda-time:2.10.10,,,,,,,,,,,
,,,,,org.hdrhistogram:HdrHistogram:2.1.12,,,,,,,,,,,
,,,,,org.springframework:spring-orm:5.3.21,,,,,,,,,,,
,,,,,org.thymeleaf:thymeleaf:3.0.15.RELEASE,,,,,,,,,,,
,,,,,did_you_mean:1.3.0,,,,,,,,,,,
,,,,,rake:12.3.3,,,,,,,,,,,
,,,,,org.jruby:jruby-base:9.3.6.0,,,,,,,,,,,
,,,,,org.ow2.asm:asm-analysis:9.2,,,,,,,,,,,
,,,,,org.springframework.data:spring-data-commons:2.7.1,,,,,,,,,,,
,,,,,org.springframework:spring-beans:5.3.21,,,,,,,,,,,
,,,,,org.springframework.security:spring-security-web:5.7.2,,,,,,,,,,,
,,,,,org.springframework:spring-web:5.3.21,,,,,,,,,,,
,,,,,xml-resolver:xml-resolver:1.2,,,,,,,,,,,
,,,,,com.github.jnr:jnr-ffi:2.2.11,,,,,,,,,,,
,,,,,io.undertow:undertow-servlet:2.2.18.Final,,,,,,,,,,,
,,,,,org.hibernate.common:hibernate-commons-annotations:5.1.2.Final,,,,,,,,,,,
,,,,,org.springframework.data:spring-data-jpa:2.7.1,,,,,,,,,,,
,,,,,rubygems:jruby-readline:1.3.7,,,,,,,,,,,
,,,,,data.tar.gz:,,,,,,,,,,,
,,,,,jquery:3.5.1,,,,,,,,,,,
,,,,,com.beust:jcommander:1.81,,,,,,,,,,,
,,,,,me.qmx.jitescript:jitescript:0.4.1,,,,,,,,,,,
,,,,,org.ow2.asm:asm:9.1,,,,,,,,,,,
,,,,,org.springframework:spring-tx:5.3.21,,,,,,,,,,,
,,,,,com.fasterxml.jackson.module:jackson-module-parameter-names:2.13.3,,,,,,,,,,,
,,,,,io.jsonwebtoken:jjwt:0.9.1,,,,,,,,,,,
,,,,,org.jboss:jandex:2.4.2.Final,,,,,,,,,,,
,,,,,org.jsoup:jsoup:1.14.3,,,,,,,,,,,
,,,,,jakarta.websocket:jakarta.websocket-api:1.1.2,,,,,,,,,,,
,,,,,org.hibernate:hibernate-core:5.6.9.Final,,,,,,,,,,,
,,,,,org.wildfly.client:wildfly-client-config:1.0.1.Final,,,,,,,,,,,
,,,,,xpp3:xpp3_min:1.1.4c,,,,,,,,,,,
,,,,,com.github.jnr:jnr-constants:0.10.3,,,,,,,,,,,
,,,,,org.apache.logging.log4j:log4j-to-slf4j:2.17.2,,,,,,,,,,,
,,,,,org.attoparser:attoparser:2.0.5.RELEASE,,,,,,,,,,,
,,,,,org.springframework:spring-jdbc:5.3.21,,,,,,,,,,,
,,,,,org.springframework:spring-expression:5.3.21,,,,,,,,,,,
,,,,,org.thymeleaf.extras:thymeleaf-extras-springsecurity5:3.0.4.RELEASE,,,,,,,,,,,
,,,,,minitest:5.11.3,,,,,,,,,,,
,,,,,com.google.guava:failureaccess:1.0.1,,,,,,,,,,,
,,,,,org.glassfish.jaxb:jaxb-runtime:2.3.6,,,,,,,,,,,
,,,,,org.jboss.threads:jboss-threads:3.1.0.Final,,,,,,,,,,,
,,,,,org.ow2.asm:asm-tree:9.2,,,,,,,,,,,
,,,,,webgoat:webgoat:8.2.3-20230105.152039-1,,,,,,,,,,,
,,,,,com.fasterxml:classmate:1.5.1,,,,,,,,,,,
,,,,,org.bouncycastle:bctls-jdk15on:1.68,,,,,,,,,,,
,,,,,org.hibernate.validator:hibernate-validator:6.2.3.Final,,,,,,,,,,,
,,,,,components-bootstrap:3.3.7,,,,,,,,,,,
,,,,,jakarta.xml.bind:jakarta.xml.bind-api:2.3.3,,,,,,,,,,,
,,,,,org.flywaydb:flyway-core:8.5.13,,,,,,,,,,,
,,,,,psych.jar:,,,,,,,,,,,
